edicao_numero,mes,ano,preco_capa,numero_paginas,url
1,4,2017,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-3-serie-n-1/ba011156/129574
2,5,2017,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-2/ba011156/130285
3,6,2017,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-3/ba011156/130605
4,7,2017,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-4/ba011156/131980
5,8,2017,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-5/ba011156/133479
6,9,2017,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-6/ba011156/133823
7,10,2017,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-7/ba011156/134258
8,11,2017,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-8/ba011156/134597
9,12,2017,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-9/ba011156/134942
10,1,2018,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-10/ba011156/135358
11,2,2018,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-11/ba011156/136804
12,3,2018,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-12/ba011156/137097
13,4,2018,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-13/ba011156/137504
14,5,2018,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-14/ba011156/139078
15,6,2018,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-15/ba011156/139454
16,7,2018,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-16/ba011156/140745
17,8,2018,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-17/ba011156/141039
18,9,2018,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-18/ba011156/141439
19,10,2018,"R$ 7,50",68,http://www.guiadosquadrinhos.com/edicao/batman-n-19/ba011156/141921
20,11,2018,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-20/ba011156/142239
21,12,2018,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-21/ba011156/142636
22,1,2019,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-22/ba011156/143602
23,2,2019,"R$ 7,50",52,http://www.guiadosquadrinhos.com/edicao/batman-n-23/ba011156/143870
