edicao_numero,mes,ano,preco_capa,numero_paginas,url
1,3,1995,"R$ 3,30",164,http://www.guiadosquadrinhos.com/edicao/batman-4-serie-n-1/bt00304/4796
2,4,1995,"R$ 1,60",84,http://www.guiadosquadrinhos.com/edicao/batman-n-2/bt00304/4797
3,5,1995,"R$ 1,60",84,http://www.guiadosquadrinhos.com/edicao/batman-n-3/bt00304/4798
4,6,1995,"R$ 1,60",84,http://www.guiadosquadrinhos.com/edicao/batman-n-4/bt00304/4799
5,7,1995,"R$ 1,80",84,http://www.guiadosquadrinhos.com/edicao/batman-n-5/bt00304/4800
6,8,1995,"R$ 1,80",84,http://www.guiadosquadrinhos.com/edicao/batman-n-6/bt00304/4801
7,9,1995,"R$ 1,80",84,http://www.guiadosquadrinhos.com/edicao/batman-n-7/bt00304/4802
8,10,1995,"R$ 1,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-8/bt00304/4803
9,11,1995,"R$ 1,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-9/bt00304/4804
10,12,1995,"R$ 1,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-10/bt00304/4805
11,1,1996,"R$ 1,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-11/bt00304/4806
12,2,1996,"R$ 1,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-12/bt00304/4807
13,3,1996,"R$ 1,90",84,http://www.guiadosquadrinhos.com/edicao/batman-n-13/bt00304/4808
14,4,1996,"R$ 2,10",84,http://www.guiadosquadrinhos.com/edicao/batman-n-14/bt00304/4809
15,5,1996,"R$ 2,10",84,http://www.guiadosquadrinhos.com/edicao/batman-n-15/bt00304/4810
16,6,1996,"R$ 2,10",84,http://www.guiadosquadrinhos.com/edicao/batman-n-16/bt00304/4811
17,7,1996,"R$ 2,20",84,http://www.guiadosquadrinhos.com/edicao/batman-n-17/bt00304/4812
18,8,1996,"R$ 2,20",84,http://www.guiadosquadrinhos.com/edicao/batman-n-18/bt00304/4813
19,9,1996,"R$ 2,20",84,http://www.guiadosquadrinhos.com/edicao/batman-n-19/bt00304/4814
