edicao_numero,mes,ano,preco_capa,numero_paginas,url
1,4,1977,"Cr$ 4,00",36,http://www.guiadosquadrinhos.com/edicao/batman-4-serie-n-1/ba001400/30493
2,5,1977,"Cr$ 4,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-2/ba001400/30494
3,6,1977,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-3/ba001400/30495
4,7,1977,"Cr$ 4,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-4/ba001400/30496
5,8,1977,"Cr$ 4,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-5/ba001400/30497
6,9,1977,"Cr$ 4,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-6/ba001400/30498
7,10,1977,"Cr$ 4,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-7/ba001400/30499
8,11,1977,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-8/ba001400/30500
9,12,1977,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-9/ba001400/30501
10,1,1978,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-10/ba001400/30502
11,2,1978,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-11/ba001400/30503
12,3,1978,"Cr$ 5,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-12/ba001400/30504
13,4,1978,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-13/ba001400/30505
14,5,1978,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-14/ba001400/30506
15,6,1978,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-15/ba001400/30507
16,7,1978,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-16/ba001400/30508
17,8,1978,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-17/ba001400/30509
18,9,1978,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-18/ba001400/30510
19,10,1978,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-19/ba001400/30511
20,11,1978,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-20/ba001400/30512
21,12,1978,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-21/ba001400/30513
22,1,1979,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-22/ba001400/30514
23,2,1979,"Cr$ 6,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-23/ba001400/30515
24,3,1979,"Cr$ 8,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-24/ba001400/30516
25,4,1979,"Cr$ 8,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-25/ba001400/30517
26,5,1979,"Cr$ 8,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-26/ba001400/30518
27,6,1979,"Cr$ 8,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-27/ba001400/30519
28,7,1979,"Cr$ 8,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-28/ba001400/30520
29,8,1979,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-29/ba001400/30521
30,9,1979,,36,http://www.guiadosquadrinhos.com/edicao/batman-n-30/ba001400/30522
31,10,1979,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-31/ba001400/30523
32,11,1979,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-32/ba001400/30524
33,12,1979,"Cr$ 10,00",36,http://www.guiadosquadrinhos.com/edicao/batman-n-33/ba001400/30525
