edicao_numero;mes;ano;preco_capa;url
1;7;1950;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-1/ptd0031/14324
2;8;1950;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-2/ptd0031/14325
3;9;1950;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-3/ptd0031/14326
4;10;1950;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-4/ptd0031/14327
5;11;1950;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-5/ptd0031/14328
6;12;1950;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-6/ptd0031/14329
7;1;1951;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-7/ptd0031/14330
8;2;1951;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-8/ptd0031/14331
9;3;1951;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-9/ptd0031/14332
10;4;1951;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-10/ptd0031/14333
11;5;1951;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-11/ptd0031/14334
12;6;1951;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-12/ptd0031/14335
13;7;1951;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-13/ptd0031/14336
14;8;1951;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-14/ptd0031/14337
15;9;1951;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-15/ptd0031/14338
16;10;1951;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-16/ptd0031/14339
17;11;1951;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-17/ptd0031/14340
18;12;1951;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-18/ptd0031/14341
19;1;1952;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-19/ptd0031/14342
20;2;1952;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-20/ptd0031/14343
21;3;1952;Cr$ 3,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-21/ptd0031/14344
22;4;1952;Cr$ 2,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-22/ptd0031/14345
23;4;1952;Cr$ 2,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-23/ptd0031/14346
24;4;1952;Cr$ 2,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-24/ptd0031/14347
25;4;1952;Cr$ 2,00;http://wwwguiadosquadrinhoscom/edicao/pato-donald-o-n-25/ptd0031/14348
