mes;ano;salario_minimo
07;1940;240 mil réis
08;1940;240 mil réis
09;1940;240 mil réis
10;1940;240 mil réis
11;1940;240 mil réis
12;1940;240 mil réis
01;1941;240 mil réis
02;1941;240 mil réis
03;1941;240 mil réis
04;1941;240 mil réis
05;1941;240 mil réis
06;1941;240 mil réis
07;1941;240 mil réis
08;1941;240 mil réis
09;1941;240 mil réis
10;1941;240 mil réis
11;1941;240 mil réis
12;1941;240 mil réis
01;1942;240 mil réis
02;1942;240 mil réis
03;1942;240 mil réis
04;1942;240 mil réis
05;1942;240 mil réis
06;1942;240 mil réis
07;1942;240 mil réis
08;1942;240 mil réis
09;1942;240 mil réis
10;1942;240 mil réis
11;1942;240 mil réis
12;1942;240 mil réis
01;1943;Cr$ 300,00
02;1943;Cr$ 300,00
03;1943;Cr$ 300,00
04;1943;Cr$ 300,00
05;1943;Cr$ 300,00
06;1943;Cr$ 300,00
07;1943;Cr$ 300,00
08;1943;Cr$ 300,00
09;1943;Cr$ 300,00
10;1943;Cr$ 300,00
11;1943;Cr$ 300,00
12;1943;Cr$ 380,00
01;1944;Cr$ 380,00
02;1944;Cr$ 380,00
03;1944;Cr$ 380,00
04;1944;Cr$ 380,00
05;1944;Cr$ 380,00
06;1944;Cr$ 380,00
07;1944;Cr$ 380,00
08;1944;Cr$ 380,00
09;1944;Cr$ 380,00
10;1944;Cr$ 380,00
11;1944;Cr$ 380,00
12;1944;Cr$ 380,00
01;1945;Cr$ 380,00
02;1945;Cr$ 380,00
03;1945;Cr$ 380,00
04;1945;Cr$ 380,00
05;1945;Cr$ 380,00
06;1945;Cr$ 380,00
07;1945;Cr$ 380,00
08;1945;Cr$ 380,00
09;1945;Cr$ 380,00
10;1945;Cr$ 380,00
11;1945;Cr$ 380,00
12;1945;Cr$ 380,00
01;1946;Cr$ 380,00
02;1946;Cr$ 380,00
03;1946;Cr$ 380,00
04;1946;Cr$ 380,00
05;1946;Cr$ 380,00
06;1946;Cr$ 380,00
07;1946;Cr$ 380,00
08;1946;Cr$ 380,00
09;1946;Cr$ 380,00
10;1946;Cr$ 380,00
11;1946;Cr$ 380,00
12;1946;Cr$ 380,00
01;1947;Cr$ 380,00
02;1947;Cr$ 380,00
03;1947;Cr$ 380,00
04;1947;Cr$ 380,00
05;1947;Cr$ 380,00
